mode,width,height,megapixels,bytes,iterations,us_per_copy,gbs_rw,wall_ms,gpu_ms
plain,1264,487,0.6156,2462272,1744,13.3643,368.486,23.8365,23.3073
plain,1920,1080,2.0736,8294400,517,38.1356,434.995,20.3597,19.7161
plain,2048,2048,4.1943,16777216,256,116.4080,288.249,31.3788,29.8004
plain,2880,2880,8.2944,33177600,129,361.3132,183.650,47.0686,46.6094
plain,3840,2160,8.2944,33177600,129,359.3684,184.644,46.7952,46.3585
plain,3840,4320,16.5888,66355200,64,700.2560,189.517,45.1792,44.8164
plain,4000,6000,24.0000,96000000,44,1008.8262,190.320,44.7288,44.3884
plain,5657,5657,32.0016,128006596,33,1357.3585,188.611,45.4060,44.7928
plain,7680,4320,33.1776,132710400,32,1418.6880,187.089,45.7907,45.3980
plain,8000,12000,96.0000,384000000,16,4087.4880,187.890,65.7017,65.3998
shared,1264,487,0.6156,2462272,1744,11.8077,417.062,21.1028,20.5926
shared,1920,1080,2.0736,8294400,517,33.1225,500.831,18.1141,17.1244
shared,2048,2048,4.1943,16777216,256,93.3400,359.486,24.4169,23.8950
shared,2880,2880,8.2944,33177600,129,355.5503,186.627,46.5301,45.8660
shared,3840,2160,8.2944,33177600,129,348.1441,190.597,45.3379,44.9106
shared,3840,4320,16.5888,66355200,64,700.7040,189.396,45.3247,44.8451
shared,4000,6000,24.0000,96000000,44,1001.7280,191.669,44.4104,44.0760
shared,5657,5657,32.0016,128006596,33,1338.3370,191.292,44.4875,44.1651
shared,7680,4320,33.1776,132710400,32,1383.7440,191.814,44.6054,44.2798
shared,8000,12000,96.0000,384000000,16,4093.9520,187.594,65.7952,65.5032
nobar,1264,487,0.6156,2462272,1744,12.2093,403.343,21.7667,21.2931
nobar,1920,1080,2.0736,8294400,517,33.3265,497.765,17.9266,17.2298
nobar,2048,2048,4.1943,16777216,256,95.0880,352.878,25.0505,24.3425
nobar,2880,2880,8.2944,33177600,129,346.9137,191.273,45.3090,44.7519
nobar,3840,2160,8.2944,33177600,129,347.2233,191.102,45.2732,44.7918
nobar,3840,4320,16.5888,66355200,64,713.5520,185.986,45.9621,45.6673
nobar,4000,6000,24.0000,96000000,44,1027.3047,186.897,45.6881,45.2014
nobar,5657,5657,32.0016,128006596,33,1374.9838,186.194,45.7590,45.3745
nobar,7680,4320,33.1776,132710400,32,1470.4640,180.501,47.5037,47.0548
nobar,8000,12000,96.0000,384000000,16,4193.9840,183.119,67.6301,67.1037
